Signal ID,Location Name,Signal Type,Signal Status,ATD Location ID,COA Intersection ID,Control,Council District(s),Primary St,Cross St,Cross St Segment ID,Landmark,Primary Signal,Secondary Signal(s),Jurisdiction Label,Primary St Segment ID,Signal Eng. Area,Traffic Engineer Area,Turn On Date,Location,Cross St Block,Primary St Block,Signal PM Max Fiscal Year,Pedestrian Signal Type,Pedestrian Button Type,Bicycle Signal,Bus Stops,Source DB ID,IP Communication status,Comm Status Datetime,Owner,Detection status,Detection Status Date,Construction Note,Construction Note Date,Latitude,Longitude,Modified Date
467, BRAKER LN / 35 SVRD,TRAFFIC,TURNED_ON,LOC16-002290,5164497,PRIMARY,1, BRAKER LN,IH 35 SVRD,2012605,,,468:  BRAKER LN / 35 SVRD,AUSTIN FULL PURPOSE,2010282,NORTHEAST,,05/04/17048,"(30.3769493, -97.6755829)",11300,800,2019,WALK/DONT WALK,APS,False,,5b5c435f97428f168b0e86f2,ONLINE,05/25/50971 08:40:00 AM +0000,TxDOT,BROKEN,01/30/49936 12:00:00 AM +0000,,,30.3769493,-97.6755829,01/06/51700 11:20:00 PM +0000
1011, 1ST ST / TAFT LN,TRAFFIC,TURNED_ON,LOC16-004945,5150499,PRIMARY,5, 1ST ST, TAFT LN,3365916,,,,AUSTIN FULL PURPOSE,3261800,SOUTHWEST,,11/22/47178,"(30.1632843, -97.8007126)",827,9600,2019,COUNTDOWN,APS,False,,5b5c438197428f168b0e87ed,ONLINE,03/22/51494 04:40:00 PM +0000,COA,OK,01/09/51168 08:00:00 AM +0000,,,30.1632843,-97.8007126,08/25/51508 10:40:00 AM +0000
999, ANDERSON MILL RD / MILLWRIGHT PKWY (OLSON DR),TRAFFIC,TURNED_ON,LOC16-004885,5149515,PRIMARY,6, ANDERSON MILL RD, MILLWRIGHT PKWY,2038782,OLSON DR,,,AUSTIN FULL PURPOSE,2007361,NORTHWEST,,08/18/21171,"(30.4471645, -97.8040161)",11800,10200,2019,COUNTDOWN,APS,False,,5817c0d8e052e0422be6cc4a,ONLINE,05/25/50971 08:40:00 AM +0000,COA,OK,07/27/49459 08:00:00 AM +0000,,,30.4471645,-97.8040161,07/09/51623 04:40:00 PM +0000
976,7010 BLK W SH 71 (CENTER OF THE HILLS SHOPPING CENTER),TRAFFIC,TURNED_ON,LOC16-004770,,PRIMARY,8,SH 71 ,  ,,CENTER OF THE HILLS SHOPPING CENTER,,,AUSTIN FULL PURPOSE,2026759,SOUTHWEST,,01/01/68029,"(30.2351704, -97.8765945)",,7010,2017,NONE,,False,,5817c0d1e052e0422be6cc04,NO COMMUNICATION,12/07/49853 10:00:00 PM +0000,COA,OK,08/07/51433 08:00:00 AM +0000,,,30.2351704,-97.8765945,06/23/51645 03:20:00 AM +0000
602, ANDERSON MILL RD / 183 HWY SVRD,TRAFFIC,TURNED_ON,LOC16-003005,5150697,PRIMARY,6, ANDERSON MILL RD,US 183 HWY SVRD,3313614,,,601:  ANDERSON MILL RD / 183 HWY SVRD,AUSTIN FULL PURPOSE,2048216,NORTHWEST,,08/28/49552,"(30.4486465, -97.790947)",13456,,2019,COUNTDOWN,,False,"5515, 4952, 5673, 5672",5b5c436b97428f168b0e8746,ONLINE,05/25/50971 08:40:00 AM +0000,TxDOT,BROKEN,11/28/49664 08:00:00 AM +0000,,,30.4486465,-97.790947,09/28/51655 10:40:00 AM +0000
1010, BRAZOS ST / 4TH ST,TRAFFIC,TURNED_ON,LOC16-004940,5157097,PRIMARY,9, BRAZOS ST, 4TH ST,2018895,,,,AUSTIN FULL PURPOSE,2018894,CENTRAL,,12/30/47011,"(30.2658348, -97.7421494)",100,400,2017,COUNTDOWN,,False,,5817c0dee052e0422be6cc6d,ONLINE,05/07/50982 08:40:00 AM +0000,COA,NO DETECTION,,,,30.2658348,-97.7421494,01/15/51435 12:40:00 AM +0000
1012, BEN WHITE BLVD / RIVERSIDE DR,TRAFFIC,TURNED_ON,LOC16-004950,5367218,SECONDARY,"3,2", BEN WHITE BLVD, RIVERSIDE DR,2023110,,501:  BEN WHITE BLVD / RIVERSIDE DR,,AUSTIN FULL PURPOSE,3280064,SOUTHEAST,,02/22/47291,"(30.21806, -97.69058)",7700,7200,2019,COUNTDOWN,,False,,5817c0dee052e0422be6cc73,NO COMMUNICATION,12/07/49853 10:00:00 PM +0000,TxDOT,OK,07/27/49459 08:00:00 AM +0000,,,30.21806,-97.69058,05/17/51209 12:00:00 PM +0000
4022,1500 BLK S PLEASANT VALLEY RD (HEB),PHB,TURNED_ON,LOC16-005100,,PRIMARY,3, PLEASANT VALLEY RD,  ,,HEB,,,AUSTIN FULL PURPOSE,2022755,SOUTHWEST,,04/23/2012,"(30.2357006, -97.7215195)",,1500,2018,,APS,false,"5779, 4288",5817c0e4e052e0422be6ccc5,ONLINE,05/13/2017 05:01:00 AM +0000,COA,NO DETECTION,,,,30.2357006,-97.7215195,07/01/2019 02:43:00 PM +0000
4001, LAMAR BLVD / 47TH ST (Triangle / State Offices),PHB,TURNED_ON,LOC16-004995,5158123,PRIMARY,9, LAMAR BLVD, 47TH ST,2046182,Triangle / State Offices,,,AUSTIN FULL PURPOSE,2046173,CENTRAL,,09/01/2009,"(30.31604, -97.7341919)",800,4601,2018,,APS,false,,5817c0e1e052e0422be6cc8e,ONLINE,10/22/2017 08:27:00 AM +0000,COA,NO DETECTION,,,,30.31604,-97.7341919,07/01/2019 03:55:00 PM +0000
132, CONGRESS AVE / BARTON SPRINGS RD,TRAFFIC,TURNED_ON,LOC16-000655,5156502,PRIMARY,9, CONGRESS AVE, BARTON SPRINGS RD,2019313,,,,AUSTIN FULL PURPOSE,2019724,SOUTHWEST,,11/15/1985,"(30.2591114, -97.7461395)",101,300,2018,COUNTDOWN,,false,,5817c07ee052e0422be6c4fc,ONLINE,08/25/2018 08:25:00 AM +0000,COA,OK,06/15/2017 05:00:00 AM +0000,,,30.2591114,-97.7461395,07/01/2019 05:56:00 PM +0000
291, 7TH ST / LAVACA ST,TRAFFIC,TURNED_ON,LOC16-001420,5156652,PRIMARY,9, 7TH ST, LAVACA ST,2018614,,,,AUSTIN FULL PURPOSE,2018615,CENTRAL,,01/01/1900,"(30.2696552, -97.7448425)",700,300,2018,COUNTDOWN,,false,,5817c085e052e0422be6c62e,ONLINE,05/30/2018 08:25:00 AM +0000,COA,NO DETECTION,,,,30.2696552,-97.7448425,07/01/2019 05:28:00 PM +0000
729,1 BLK S PLEASANT VALLEY RD (KREIG FIELD),TRAFFIC,TURNED_ON,LOC16-003595,,PRIMARY,3, PLEASANT VALLEY RD,  ,,KREIG FIELD,,,AUSTIN FULL PURPOSE,3377275,SOUTHWEST,,12/06/2000,"(30.2460289, -97.7149734)",,1,2017,WALK/DONT WALK,,false,,5817c0a0e052e0422be6c9a5,ONLINE,08/16/2018 08:25:00 AM +0000,COA,OK,06/23/2017 05:00:00 AM +0000,,,30.2460289,-97.7149734,07/01/2019 05:56:00 PM +0000
114, 38TH ST / MEDICAL PKWY,TRAFFIC,TURNED_ON,LOC16-000565,5156616,PRIMARY,10, 38TH ST, MEDICAL PKWY,2016281,,,,AUSTIN FULL PURPOSE,2016282,CENTRAL,,05/10/8158,"(30.3057194, -97.7441483)",3800,1100,2018,COUNTDOWN,,False,,5817c07ee052e0422be6c4d8,ONLINE,06/26/51491 04:40:00 PM +0000,COA,BROKEN,04/08/51395 08:00:00 AM +0000,,,30.3057194,-97.7441483,08/11/51508 01:20:00 PM +0000
4094, 45TH ST / RAMSEY AVE,PHB,DESIGN,LOC16-005545,5156686,PRIMARY,"10,7", 45TH ST, RAMSEY AVE,2015514,,,,AUSTIN FULL PURPOSE,2015515,CENTRAL,,,"(30.3162044, -97.7433696)",4500,1600,,COUNTDOWN,,False,,5d1a285ea45b66000bd82650,NO COMMUNICATION,07/31/51469 04:40:00 PM +0000,COA,BROKEN,06/15/51466 08:00:00 AM +0000,Construction to begin Q4 FY 2018-19,07/25/51611 08:00:00 AM +0000,30.3162044,-97.7433696,03/01/51613 01:20:00 AM +0000
921, MARTIN LUTHER KING JR BLVD / ALEXANDER AVE,TRAFFIC,TURNED_ON,LOC16-004520,5161088,PRIMARY,1, MARTIN LUTHER KING JR BLVD, ALEXANDER AVE,2017731,,,,AUSTIN FULL PURPOSE,2017761,NORTHEAST,,03/01/45955,"(30.2817059, -97.7094574)",1900,2809,2018,COUNTDOWN,APS,True,,5817c0c4e052e0422be6cb78,OFFLINE,02/15/50000 08:40:00 AM +0000,COA,BROKEN,01/26/51127 12:00:00 AM +0000,,,30.2817059,-97.7094574,06/16/51623 06:40:00 PM +0000
669,9719 BLK GREAT HILLS TRL,TRAFFIC,TURNED_ON,LOC16-003305,,PRIMARY,10, GREAT HILLS TRL,  ,,,,,AUSTIN FULL PURPOSE,3313033,NORTHWEST,,07/27/27920,"(30.3944759, -97.752121)",,9719,2018,WALK/DONT WALK,,False,,5817c099e052e0422be6c922,ONLINE,05/01/51639 04:40:00 PM +0000,COA,OK,12/05/49434 08:00:00 AM +0000,,,30.3944759,-97.752121,01/15/51643 01:20:00 PM +0000
325, GUADALUPE ST / 4TH ST,TRAFFIC,TURNED_ON,LOC16-001590,5156339,PRIMARY,9, GUADALUPE ST, 4TH ST,2018803,,,,AUSTIN FULL PURPOSE,2018802,CENTRAL,,07/03/28840,"(30.2671833, -97.7469635)",401,400,2018,COUNTDOWN,,False,,5817c086e052e0422be6c672,ONLINE,10/09/49748 09:20:00 PM +0000,COA,NO DETECTION,,,,30.2671833,-97.7469635,02/07/51665 02:00:00 PM +0000
115, BARTON SPRINGS RD / STRATFORD DR,TRAFFIC,TURNED_ON,LOC16-000570,5153190,PRIMARY,8, BARTON SPRINGS RD, STRATFORD DR,2021833,,,,AUSTIN FULL PURPOSE,2021116,SOUTHWEST,,05/25/48479,"(30.2671709, -97.77088083)",2207,2200,2018,COUNTDOWN,APS,False,,5817c07ee052e0422be6c4da,OFFLINE,01/11/51538 04:40:00 PM +0000,COA,OK,11/20/49979 12:00:00 AM +0000,,,30.2671709,-97.77088083,05/19/51678 09:20:00 PM +0000
4093, PEARSON RANCH RD / IVEANS WAY,PHB,CONSTRUCTION,LOC17-011340,5154818,PRIMARY,6, PEARSON RANCH RD, IVEANS WAY,3506026,,,,AUSTIN FULL PURPOSE,5307122,NORTHWEST,,,"(30.496051, -97.75206)",15600,8900,,COUNTDOWN,,False,,5d1a2806b069a1000b6718e4,NO COMMUNICATION,07/31/51469 04:40:00 PM +0000,COA,BROKEN,06/15/51466 08:00:00 AM +0000,Construction 95% complete. Coordinating with PEC on final power infrastructure.,04/09/51677 08:00:00 AM +0000,30.496051,-97.75206,05/15/51678 05:20:00 PM +0000
779, MC KINNEY FALLS PKWY / WILLIAM CANNON DR,TRAFFIC,TURNED_ON,LOC16-003835,5159643,PRIMARY,2, MC KINNEY FALLS PKWY, WILLIAM CANNON DR,2045961,,,,AUSTIN 2 MILE ETJ,3258225,SOUTHEAST,,06/16/33749,"(30.1632175, -97.7258301)",7000,6926,2019,COUNTDOWN,APS,False,,5817c0a9e052e0422be6ca1a,ONLINE,11/30/51507 04:40:00 PM +0000,Travis County,OK,10/14/51077 12:00:00 AM +0000,,,30.1632175,-97.7258301,12/13/51686 01:20:00 AM +0000
217, 15TH ST / RIO GRANDE ST,TRAFFIC,TURNED_ON,LOC16-001065,5156406,PRIMARY,9, 15TH ST, RIO GRANDE ST,2017992,,,,AUSTIN FULL PURPOSE,2017993,CENTRAL,,04/02/0032,"(30.278841, -97.7462311)",1500,700,2019,COUNTDOWN,,False,,5817c082e052e0422be6c5a0,ONLINE,12/23/50032 08:40:00 AM +0000,COA,OK,12/01/50877 12:00:00 AM +0000,,,30.278841,-97.7462311,11/13/51697 10:40:00 PM +0000
848, CAPITAL OF TEXAS HWY / LAKEWOOD DR,TRAFFIC,TURNED_ON,LOC16-004175,5151320,PRIMARY,10, CAPITAL OF TEXAS HWY, LAKEWOOD DR,2013767,,,,AUSTIN FULL PURPOSE,2013773,NORTHWEST,,05/18/19334,"(30.3716736, -97.7856598)",7200,6822,2018,WALK/DONT WALK,,False,,5817c0b2e052e0422be6cab8,ONLINE,06/12/51669 04:40:00 PM +0000,COA,OK,08/04/50472 08:00:00 AM +0000,,,30.3716736,-97.7856598,11/11/51697 04:00:00 AM +0000
1017, ANDERSON MILL RD / CASHELL WOOD DR,TRAFFIC,TURNED_ON,LOC16-004975,5146221,PRIMARY,, ANDERSON MILL RD, CASHELL WOOD DR,2006803,,,,CEDAR PARK ETJ,2006804,NORTHWEST,,06/23/47978,"(30.4629669, -97.8433228)",2700,13100,2019,UNKNOWN,APS,False,,5817c0dfe052e0422be6cc82,ONLINE,07/24/51417 04:40:00 PM +0000,Travis County,OK,10/24/51441 08:00:00 AM +0000,,,30.4629669,-97.8433228,09/28/51655 10:40:00 AM +0000
59, 38TH ST / DUVAL ST,TRAFFIC,TURNED_ON,LOC16-000290,5158780,PRIMARY,9, 38TH ST, DUVAL ST,2016716,,,,AUSTIN FULL PURPOSE,2016717,CENTRAL,,08/29/11411,"(30.298708, -97.7297745)",3800,402,2018,WALK/DONT WALK,,False,,5817c07be052e0422be6c46a,ONLINE,10/07/49748 02:40:00 AM +0000,COA,OK,03/02/50029 12:00:00 AM +0000,,,30.298708,-97.7297745,06/13/51678 09:20:00 PM +0000
418, WEST GATE BLVD / WILLIAM CANNON DR,TRAFFIC,TURNED_ON,LOC16-002050,5149106,PRIMARY,5, WEST GATE BLVD, WILLIAM CANNON DR,3260668,,,,AUSTIN FULL PURPOSE,2026206,SOUTHWEST,,03/19/14447,"(30.207201, -97.8153915)",2700,6900,2017,WALK/DONT WALK,,False,"2680, 3226, 4429, 4430, 2344, 2360, 4428, 3178, 2679",5b5c435c97428f168b0e86d7,ONLINE,10/23/50820 08:40:00 AM +0000,COA,OK,05/11/51061 12:00:00 AM +0000,,,30.207201,-97.8153915,10/06/51492 01:20:00 AM +0000
1046,2205 BLK GRACY FARMS LN (Schwab / Stoneleigh Condos),TRAFFIC,TURNED_ON,LOC18-012600,,PRIMARY,7, GRACY FARMS LN,  ,,Schwab / Stoneleigh Condos,,,AUSTIN FULL PURPOSE,2006588,NORTHWEST,,02/01/50248,"(30.402821, -97.709123)",,2205,2019,COUNTDOWN,,False,,5ac69d01cad5407e12d26d62,NO COMMUNICATION,01/18/50232 04:40:00 PM +0000,COA,BROKEN,12/26/51345 08:00:00 AM +0000,Estimated turn-on April 2018.,12/02/50228 08:00:00 AM +0000,30.402821,-97.709123,06/05/51495 11:20:00 PM +0000
1039, 7TH ST / SAN MARCOS ST,TRAFFIC,DESIGN,LOC16-005755,,PRIMARY,"3,1", 7TH ST, SAN MARCOS ST,2018875,,,,AUSTIN FULL PURPOSE,2018876,CENTRAL,,,"(30.2660183, -97.7321093)",700,922,,,,False,929,5b5c438197428f168b0e87f1,NO COMMUNICATION,03/18/50093 08:40:00 AM +0000,COA,BROKEN,05/26/50089 12:00:00 AM +0000,"COA will construct, development pending on north side of 7th Street will impact construction",07/27/51496 08:00:00 AM +0000,30.2660183,-97.7321093,11/01/51497 03:20:00 AM +0000
1040, 7TH ST / WALLER ST (WESTERLY INTERSECTION),TRAFFIC,DESIGN,LOC18-012425,5158832,PRIMARY,"3,1", 7TH ST, WALLER ST,2018905,WESTERLY INTERSECTION,,,AUSTIN FULL PURPOSE,2018906,CENTRAL,,,"(30.265431, -97.730341)",700,1008,,,,False,930,5b5c438297428f168b0e87f5,NO COMMUNICATION,03/18/50093 08:40:00 AM +0000,COA,BROKEN,05/26/50089 12:00:00 AM +0000,Updated plans from Developer currently in review. ,07/27/51496 08:00:00 AM +0000,30.265431,-97.730341,11/03/51497 10:00:00 PM +0000
1042, CESAR CHAVEZ ST / SAN MARCOS ST,TRAFFIC,DESIGN,LOC16-005790,5158291,PRIMARY,3, CESAR CHAVEZ ST, SAN MARCOS ST,2019223,,,,AUSTIN FULL PURPOSE,2019224,CENTRAL,,,"(30.2605892, -97.7346111)",100,900,,,,False,"1799, 1850",5b5c438397428f168b0e87fb,NO COMMUNICATION,03/18/50093 08:40:00 AM +0000,COA,BROKEN,05/26/50089 12:00:00 AM +0000,Developer ordering poles for dual mast arms.,07/27/51496 08:00:00 AM +0000,30.2605892,-97.7346111,11/06/51497 12:00:00 AM +0000
623,FM 620 RD / PECAN PARK BLVD,TRAFFIC,TURNED_ON,LOC16-003085,5149481,SECONDARY,6,FM 620 RD, PECAN PARK BLVD,3271352,,622: FM 620 RD / PECAN PARK BLVD,,AUSTIN FULL PURPOSE,3194298,NORTHWEST,,09/02/41738,"(30.4659653, -97.8039627)",11000,12700,2019,WALK/DONT WALK,,False,,5b5c436e97428f168b0e875b,NO COMMUNICATION,12/07/49853 10:00:00 PM +0000,TxDOT,BROKEN,11/28/49664 08:00:00 AM +0000,,,30.4659653,-97.8039627,09/17/51529 12:00:00 PM +0000
191, MANCHACA RD / JONES RD,TRAFFIC,TURNED_ON,LOC16-000945,5150932,PRIMARY,5, MANCHACA RD, JONES RD,2024437,,,,AUSTIN FULL PURPOSE,2024460,SOUTHWEST,,11/28/5685,"(30.2207584, -97.7940674)",2001,5100,2019,COUNTDOWN,,False,,5817c081e052e0422be6c570,ONLINE,10/23/50820 08:40:00 AM +0000,COA,OK,05/08/51603 08:00:00 AM +0000,,,30.2207584,-97.7940674,07/12/51623 11:20:00 AM +0000
229, CESAR CHAVEZ ST / SANDRA MURAIDA WAY,TRAFFIC,TURNED_ON,LOC16-001125,5155155,PRIMARY,9, CESAR CHAVEZ ST, SANDRA MURAIDA WAY,3426145,,,,AUSTIN FULL PURPOSE,2044018,CENTRAL,,04/27/14592,"(30.2664337, -97.7555389)",100,914,2018,COUNTDOWN,,True,,5817c083e052e0422be6c5b8,ONLINE,10/09/49748 04:40:00 AM +0000,COA,UNKNOWN,08/27/50880 12:00:00 AM +0000,,,30.2664337,-97.7555389,09/28/51655 10:40:00 AM +0000
572, PARMER LN / SAMSUNG BLVD,TRAFFIC,TURNED_ON,LOC16-002805,5167289,PRIMARY,1, PARMER LN, SAMSUNG BLVD,2009452,,,,AUSTIN FULL PURPOSE,3194995,NORTHEAST,,12/19/40199,"(30.3760014, -97.6317139)",12200,3201,2018,WALK/DONT WALK,,False,,5817c094e052e0422be6c85b,ONLINE,05/25/50971 08:40:00 AM +0000,COA,OK,04/16/51447 08:00:00 AM +0000,,,30.3760014,-97.6317139,07/15/51670 02:40:00 PM +0000
348, METRIC BLVD / STONEHOLLOW DR,TRAFFIC,TURNED_ON,LOC16-001705,5161407,PRIMARY,7, METRIC BLVD, STONEHOLLOW DR,2039384,,,,AUSTIN FULL PURPOSE,2006608,NORTHWEST,,08/17/28076,"(30.4005661, -97.7029953)",11818,11901,2017,WALK/DONT WALK,,False,,5b5c435897428f168b0e86b2,ONLINE,10/23/51247 04:40:00 PM +0000,COA,OK,05/10/51488 08:00:00 AM +0000,,,30.4005661,-97.7029953,11/04/51678 03:20:00 PM +0000
775, PARMER LN / LEGENDARY DR (Riata Vista Circle - West),TRAFFIC,TURNED_ON,LOC16-003815,5157325,PRIMARY,6, PARMER LN, LEGENDARY DR,3288135,Riata Vista Circle - West,,,AUSTIN FULL PURPOSE,2005522,NORTHWEST,,09/06/33245,"(30.4372978, -97.7359543)",13420,5600,2017,WALK/DONT WALK,,False,,5817c0a8e052e0422be6ca10,ONLINE,05/25/50971 08:40:00 AM +0000,COA,BROKEN,02/04/51491 08:00:00 AM +0000,,,30.4372978,-97.7359543,08/01/51697 06:40:00 PM +0000
844, GREAT HILLS TRL / STONELAKE BLVD,TRAFFIC,TURNED_ON,LOC16-004155,5156932,PRIMARY,7, GREAT HILLS TRL, STONELAKE BLVD,2009809,,,,AUSTIN FULL PURPOSE,2012349,NORTHWEST,,10/04/33820,"(30.3934135, -97.7396469)",9900,10001,2018,WALK/DONT WALK,,False,"5019, 5916, 3838",5817c0b1e052e0422be6caad,ONLINE,05/25/50971 08:40:00 AM +0000,COA,BROKEN,06/08/50987 12:00:00 AM +0000,,,30.3934135,-97.7396469,01/16/51498 12:40:00 PM +0000
739, SOUTHWEST PKWY / WILLIAM CANNON DR,TRAFFIC,TURNED_ON,LOC16-003645,5144805,PRIMARY,8, SOUTHWEST PKWY, WILLIAM CANNON DR,3260386,,,,AUSTIN FULL PURPOSE,3271593,SOUTHWEST,,07/21/33018,"(30.2545109, -97.8656235)",7161,7018,2019,COUNTDOWN,,False,,5817c0a1e052e0422be6c9bc,OFFLINE,06/27/50415 04:40:00 PM +0000,COA,OK,11/17/49445 08:00:00 AM +0000,,,30.2545109,-97.8656235,05/17/51623 05:20:00 AM +0000
238, CESAR CHAVEZ ST / WALTER SEAHOLM DR,TRAFFIC,TURNED_ON,LOC16-001170,5155385,PRIMARY,9, CESAR CHAVEZ ST, WALTER SEAHOLM DR,3426104,,,,AUSTIN FULL PURPOSE,3426176,CENTRAL,,04/17/48616,"(30.266, -97.75353)",100,816,2018,COUNTDOWN,APS,False,,5817c083e052e0422be6c5ca,ONLINE,02/01/51412 04:40:00 PM +0000,COA,OK,11/28/49664 08:00:00 AM +0000,,,30.266,-97.75353,09/28/51655 10:40:00 AM +0000
292, 7TH ST / COLORADO ST,TRAFFIC,TURNED_ON,LOC16-001425,5156810,PRIMARY,9, 7TH ST, COLORADO ST,2018634,,,,AUSTIN FULL PURPOSE,2018635,CENTRAL,,04/04/49473,"(30.2693481, -97.7437744)",700,200,2019,COUNTDOWN,,False,,5817c085e052e0422be6c630,OFFLINE,06/01/51450 04:40:00 PM +0000,COA,NO DETECTION,,,,30.2693481,-97.7437744,09/28/51655 10:40:00 AM +0000
